,rt,stimulus,key_press,stim_type,count,trial_type,trial_index,time_elapsed,internal_node_id,correct,practice,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,stroop_accuracy,(no name)
0,820.2999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/2con.png,50,congruent,2,image-keyboard-response,19,41932,0.0-4.0-0.0,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
1,732.6000000014901,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/3incon4.png,52,incongruent,4,image-keyboard-response,33,71978,0.0-4.0-0.14,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
2,997.0,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/4con.png,52,incongruent,4,image-keyboard-response,32,69940,0.0-4.0-0.13,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
3,684.8999999985099,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/1incon3.png,51,incongruent,3,image-keyboard-response,31,67786,0.0-4.0-0.12,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
4,1330.2000000029802,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/2incon3.png,51,incongruent,3,image-keyboard-response,30,65275,0.0-4.0-0.11,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
5,825.6000000014901,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/3incon2.png,50,incongruent,2,image-keyboard-response,29,63124,0.0-4.0-0.10,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
6,596.5,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/1con.png,49,congruent,1,image-keyboard-response,28,60850,0.0-4.0-0.9,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
7,943.6000000014901,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/3con.png,51,congruent,3,image-keyboard-response,27,58899,0.0-4.0-0.8,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
8,1195.7000000029802,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/4incon3.png,51,incongruent,3,image-keyboard-response,34,75125,0.0-4.0-0.15,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
9,740.0,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-Qualtrics56/countingstroop/img/1incon2.png,50,incongruent,2,image-keyboard-response,25,54584,0.0-4.0-0.6,False,0,2022-03-10 18:48:09,2022-03-10 18:49:30,Survey Preview,,100,81,True,2022-03-10 18:49:32,R_3HpfFPtgCdJN8Au,,,,,38.9091033935547,-77.0203018188477,preview,EN,,
