,rt,stimulus,key_press,stim_type,count,trial_type,trial_index,time_elapsed,internal_node_id,correct,practice,ResponseId
0,915.0999999940395,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3incon1.png,49.0,incongruent,1,image-keyboard-response,11,22204,0.0-4.0-0.0,True,0,R_20YHyBhajq01yyN
1,969.0999999940395,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3incon4.png,51.0,incongruent,4,image-keyboard-response,37,79240,0.0-4.0-0.26,False,0,R_20YHyBhajq01yyN
2,651.6000000089407,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3con.png,51.0,congruent,3,image-keyboard-response,38,80851,0.0-4.0-0.27,True,0,R_20YHyBhajq01yyN
3,513.4000000059605,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3con.png,51.0,congruent,3,image-keyboard-response,39,82940,0.0-4.0-0.28,True,0,R_20YHyBhajq01yyN
4,1040.5,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4incon2.png,50.0,incongruent,2,image-keyboard-response,40,85056,0.0-4.0-0.29,True,0,R_20YHyBhajq01yyN
5,517.7999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4incon2.png,50.0,incongruent,2,image-keyboard-response,41,87365,0.0-4.0-0.30,True,0,R_20YHyBhajq01yyN
6,705.0999999940395,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3con.png,51.0,congruent,3,image-keyboard-response,42,88710,0.0-4.0-0.31,True,0,R_20YHyBhajq01yyN
7,796.7999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4incon2.png,50.0,incongruent,2,image-keyboard-response,43,90578,0.0-4.0-0.32,True,0,R_20YHyBhajq01yyN
8,461.8999999910593,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon2.png,50.0,incongruent,2,image-keyboard-response,44,92771,0.0-4.0-0.33,True,0,R_20YHyBhajq01yyN
9,540.4000000059605,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4incon1.png,49.0,incongruent,1,image-keyboard-response,45,94459,0.0-4.0-0.34,True,0,R_20YHyBhajq01yyN
10,892.7999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon3.png,51.0,incongruent,3,image-keyboard-response,36,76608,0.0-4.0-0.25,True,0,R_20YHyBhajq01yyN
11,515.0,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2incon1.png,49.0,incongruent,1,image-keyboard-response,46,95912,0.0-4.0-0.35,True,0,R_20YHyBhajq01yyN
12,521.5,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4incon3.png,52.0,incongruent,3,image-keyboard-response,48,99161,0.0-4.0-0.37,False,0,R_20YHyBhajq01yyN
13,592.5,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3incon4.png,52.0,incongruent,4,image-keyboard-response,49,100797,0.0-4.0-0.38,True,0,R_20YHyBhajq01yyN
14,707.9000000059605,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3incon2.png,50.0,incongruent,2,image-keyboard-response,50,102825,0.0-4.0-0.39,True,0,R_20YHyBhajq01yyN
15,596.7000000029802,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon2.png,50.0,incongruent,2,image-keyboard-response,51,104479,0.0-4.0-0.40,True,0,R_20YHyBhajq01yyN
16,585.2999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon2.png,50.0,incongruent,2,image-keyboard-response,52,105673,0.0-4.0-0.41,True,0,R_20YHyBhajq01yyN
17,605.1999999880791,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon4.png,52.0,incongruent,4,image-keyboard-response,53,107699,0.0-4.0-0.42,True,0,R_20YHyBhajq01yyN
18,611.2999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon3.png,51.0,incongruent,3,image-keyboard-response,54,108905,0.0-4.0-0.43,True,0,R_20YHyBhajq01yyN
19,634.3000000119209,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4incon1.png,49.0,incongruent,1,image-keyboard-response,55,111499,0.0-4.0-0.44,True,0,R_20YHyBhajq01yyN
20,542.5,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2incon1.png,49.0,incongruent,1,image-keyboard-response,56,113762,0.0-4.0-0.45,True,0,R_20YHyBhajq01yyN
21,885.0,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3incon4.png,52.0,incongruent,4,image-keyboard-response,47,97456,0.0-4.0-0.36,True,0,R_20YHyBhajq01yyN
22,707.0,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1con.png,49.0,congruent,1,image-keyboard-response,35,74056,0.0-4.0-0.24,True,0,R_20YHyBhajq01yyN
23,736.8999999910593,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2incon3.png,51.0,incongruent,3,image-keyboard-response,34,71705,0.0-4.0-0.23,True,0,R_20YHyBhajq01yyN
24,925.2999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/1incon4.png,51.0,incongruent,4,image-keyboard-response,33,69276,0.0-4.0-0.22,False,0,R_20YHyBhajq01yyN
25,1423.2999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2incon3.png,51.0,incongruent,3,image-keyboard-response,12,24921,0.0-4.0-0.1,True,0,R_20YHyBhajq01yyN
26,698.5,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2con.png,50.0,congruent,2,image-keyboard-response,13,27027,0.0-4.0-0.2,True,0,R_20YHyBhajq01yyN
27,629.7000000029802,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/3incon1.png,49.0,incongruent,1,image-keyboard-response,14,29446,0.0-4.0-0.3,True,0,R_20YHyBhajq01yyN
28,1425.800000011921,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2incon4.png,52.0,incongruent,4,image-keyboard-response,15,31733,0.0-4.0-0.4,True,0,R_20YHyBhajq01yyN
29,1408.7999999970198,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/2incon4.png,52.0,incongruent,4,image-keyboard-response,16,34467,0.0-4.0-0.5,True,0,R_20YHyBhajq01yyN
30,524.8999999910593,https://cdn.jsdelivr.net/gh/dvitaa/jsPsych-in-QualtricsX1/countingstroop/img/4con.png,52.0,congruent,4,image-keyboard-response,17,35675,0.0-4.0-0.6,True,0,R_20YHyBhajq01yyN
